Version,Power (hp),Consumption (l/100 km),Interior,Location,Registration city,Number of doors,Assembly,Source,Model,Body Type,Car documents,Title,Number of seats,Number of Owners,Price,URL,Color,Air Conditioning,Make
Rebirth,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Local,,Civic VTi Oriel Prosmatec,Sedan,Original,Honda Civic VTi Oriel Prosmatec 2014,5,2,"Rs 3,700,000",https://www.olx.com.pk/item/honda-civic-vti-oriel-prosmatec-2014-iid-1094647719,Beige,,Honda
Rebirth,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Local,,Civic VTi Oriel Prosmatec,Sedan,Original,Honda Civic VTi Oriel Prosmatec 2014,5,2,"Rs 3,700,000",https://www.olx.com.pk/item/honda-civic-vti-oriel-prosmatec-2014-iid-1094647719,Beige,,Honda
1.3auto,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Local,,Corolla GLI,Sedan,Original,Toyota Corolla GLI 2018automic,4,2,"Rs 4,350,000",https://www.olx.com.pk/item/toyota-corolla-gli-2018automic-iid-1095280521,White,,Toyota
1.3auto,,,,"Bahria Town Phase 8, Rawalpindi",Islamabad,,Local,,Corolla GLI,Sedan,Original,Toyota Corolla GLI 2018automic,4,2,"Rs 4,350,000",https://www.olx.com.pk/item/toyota-corolla-gli-2018automic-iid-1095280521,White,,Toyota
club Gv,,,,"Bahria Town Phase 8, Rawalpindi",Lahore,,Imported,,Santro,Hatchback,Original,Hyundai Santro 2005,,,"Rs 1,250,000",https://www.olx.com.pk/item/hyundai-santro-2005-iid-1095260114,Blue,,Hyundai
club Gv,,,,"Bahria Town Phase 8, Rawalpindi",Lahore,,Imported,,Santro,Hatchback,Original,Hyundai Santro 2005,,,"Rs 1,250,000",https://www.olx.com.pk/item/hyundai-santro-2005-iid-1095260114,Blue,,Hyundai
karachi,,,,"Bahria Town Phase 8, Rawalpindi",Karachi,,Local,,Cultus VX,Hatchback,Original,Suzuki Cultus VX 2015,,2,"Rs 1,425,000",https://www.olx.com.pk/item/suzuki-cultus-vx-2015-iid-1095252951,White,,Suzuki
karachi,,,,"Bahria Town Phase 8, Rawalpindi",Karachi,,Local,,Cultus VX,Hatchback,Original,Suzuki Cultus VX 2015,,2,"Rs 1,425,000",https://www.olx.com.pk/item/suzuki-cultus-vx-2015-iid-1095252951,White,,Suzuki
VX,,,,"DHA Phase 1, Lahore",Lahore,,Local,,Mehran VX,Hatchback,Original,Suzuki Mehran VX 2011,5,,"Rs 825,000",https://www.olx.com.pk/item/suzuki-mehran-vx-2011-iid-1095377615,Silver,,Suzuki
VX,,,,"DHA Phase 1, Lahore",Lahore,,Local,,Mehran VX,Hatchback,Original,Suzuki Mehran VX 2011,5,,"Rs 825,000",https://www.olx.com.pk/item/suzuki-mehran-vx-2011-iid-1095377615,Silver,,Suzuki
1.8 i-VTEC CVT,,,,"DHA Phase 1, Lahore",Islamabad,,Local,,Civic Oriel,Sedan,Original,Honda Civic Oriel 2018 1.8 i-VTEC CVT,5,1,"Rs 5,200,000",https://www.olx.com.pk/item/honda-civic-oriel-2018-18-i-vtec-cvt-iid-1095417625,White,,Honda
1.8 i-VTEC CVT,,,,"DHA Phase 1, Lahore",Islamabad,,Local,,Civic Oriel,Sedan,Original,Honda Civic Oriel 2018 1.8 i-VTEC CVT,5,1,"Rs 5,200,000",https://www.olx.com.pk/item/honda-civic-oriel-2018-18-i-vtec-cvt-iid-1095417625,White,,Honda
,,,,"DHA Phase 1, Lahore",Lahore,,Imported,,Charade,Small city car,Original,Daihatsu Charade 1986  03234018360,4,2,"Rs 450,000",https://www.olx.com.pk/item/daihatsu-charade-1986-03234018360-iid-1095326490,White,,Daihatsu
,,,,"DHA Phase 1, Lahore",Lahore,,Imported,,Charade,Small city car,Original,Daihatsu Charade 1986  03234018360,4,2,"Rs 450,000",https://www.olx.com.pk/item/daihatsu-charade-1986-03234018360-iid-1095326490,White,,Daihatsu
S,,,Full Leather,"DHA Phase 1, Lahore",Punjab,,Local,,BR-V,SUV,Original,Honda BRV S 2021,7,2,"Rs 4,850,000",https://www.olx.com.pk/item/honda-br-v-2021-iid-1090847556,Black,Automatic air conditioning 2 zones,Honda
S,,,Full Leather,"DHA Phase 1, Lahore",Punjab,,Local,,BR-V,SUV,Original,Honda BRV S 2021,7,2,"Rs 4,850,000",https://www.olx.com.pk/item/honda-br-v-2021-iid-1090847556,Black,Automatic air conditioning 2 zones,Honda
z sensing,,,,"DHA Phase 1, Lahore",Lahore,,Imported,,Vezel,SUV,Original,Honda Vezel Z sensing 2015,2,1,"Rs 4,950,000",https://www.olx.com.pk/item/honda-vezel-z-sensing-2015-iid-1095044764,White,,Honda
z sensing,,,,"DHA Phase 1, Lahore",Lahore,,Imported,,Vezel,SUV,Original,Honda Vezel Z sensing 2015,2,1,"Rs 4,950,000",https://www.olx.com.pk/item/honda-vezel-z-sensing-2015-iid-1095044764,White,,Honda
automatic transmission,,,,"DHA Phase 1, Lahore",Lahore,,Imported,,Platz,Sedan,Original,Toyota Platz model 2000 reg 2007 genuine condition car,5,3,"Rs 1,445,000",https://www.olx.com.pk/item/toyota-platz-model-2000-reg-2007-genuine-condition-car-iid-1094731955,Gold,,Toyota
automatic transmission,,,,"DHA Phase 1, Lahore",Lahore,,Imported,,Platz,Sedan,Original,Toyota Platz model 2000 reg 2007 genuine condition car,5,3,"Rs 1,445,000",https://www.olx.com.pk/item/toyota-platz-model-2000-reg-2007-genuine-condition-car-iid-1094731955,Gold,,Toyota
Suzuki Liana RXI,,,,"DHA Phase 1, Lahore",Lahore,,Local,,Liana,Sedan,Original,Suzuki Liana RXI,5,1,"Rs 1,150,000",https://www.olx.com.pk/item/suzuki-liana-rxi-iid-1095433399,Silver,,Suzuki
Suzuki Liana RXI,,,,"DHA Phase 1, Lahore",Lahore,,Local,,Liana,Sedan,Original,Suzuki Liana RXI,5,1,"Rs 1,150,000",https://www.olx.com.pk/item/suzuki-liana-rxi-iid-1095433399,Silver,,Suzuki
Automatic,,,,"DHA Phase 1, Lahore",Lahore,,Local,,City IVTEC,Sedan,Original,Honda City IVTEC 2006,4,,"Rs 2,050,000",https://www.olx.com.pk/item/honda-city-ivtec-2006-iid-1095427945,Black,,Honda
Automatic,,,,"DHA Phase 1, Lahore",Lahore,,Local,,City IVTEC,Sedan,Original,Honda City IVTEC 2006,4,,"Rs 2,050,000",https://www.olx.com.pk/item/honda-city-ivtec-2006-iid-1095427945,Black,,Honda
Prosmatec,,,,"DHA Phase 1, Lahore",Lahore,,Local,,City IVTEC,Sedan,Original,Honda City IVTEC 2020 Model Prosmatec Metallic Grey,5,1,"Rs 3,570,000",https://www.olx.com.pk/item/honda-city-ivtec-2020-model-prosmatec-metallic-grey-iid-1095416522,Grey,,Honda
Prosmatec,,,,"DHA Phase 1, Lahore",Lahore,,Local,,City IVTEC,Sedan,Original,Honda City IVTEC 2020 Model Prosmatec Metallic Grey,5,1,"Rs 3,570,000",https://www.olx.com.pk/item/honda-city-ivtec-2020-model-prosmatec-metallic-grey-iid-1095416522,Grey,,Honda
es,,,,"DHA Phase 1, Lahore",,,Imported,,Mira,Hatchback,Original,Daihatsu Mira 2020/22,4,,"Rs 2,990,000",https://www.olx.com.pk/item/daihatsu-mira-202022-iid-1095414718,Blue,,Daihatsu
es,,,,"DHA Phase 1, Lahore",,,Imported,,Mira,Hatchback,Original,Daihatsu Mira 2020/22,4,,"Rs 2,990,000",https://www.olx.com.pk/item/daihatsu-mira-202022-iid-1095414718,Blue,,Daihatsu
2009,,,,"DHA Phase 1, Lahore",Lahore,,Local,,Corolla Altis,Sedan,Original,Toyota Corolla Altis 2009,4,,"Rs 2,890,000",https://www.olx.com.pk/item/toyota-corolla-altis-2009-iid-1095397440,Red,,Toyota
2009,,,,"DHA Phase 1, Lahore",Lahore,,Local,,Corolla Altis,Sedan,Original,Toyota Corolla Altis 2009,4,,"Rs 2,890,000",https://www.olx.com.pk/item/toyota-corolla-altis-2009-iid-1095397440,Red,,Toyota
full option,,,,"DHA Phase 1, Lahore",Lahore,,Local,,Civic VTi Oriel Prosmatec,Sedan,Original,Honda Civic VTi Oriel Prosmatec 2011 lush beautiy,5,4,"Rs 2,595,000",https://www.olx.com.pk/item/honda-civic-vti-oriel-prosmatec-2011-lush-beautiy-iid-1095304949,Black,,Honda
full option,,,,"DHA Phase 1, Lahore",Lahore,,Local,,Civic VTi Oriel Prosmatec,Sedan,Original,Honda Civic VTi Oriel Prosmatec 2011 lush beautiy,5,4,"Rs 2,595,000",https://www.olx.com.pk/item/honda-civic-vti-oriel-prosmatec-2011-lush-beautiy-iid-1095304949,Black,,Honda
2017,,,,"DHA Phase 1, Lahore",Islamabad,,Imported,,Aqua,Hatchback,Original,Toyota Aqua 2014,4,2,"Rs 3,440,000",https://www.olx.com.pk/item/toyota-aqua-2014-iid-1095379385,Black,,Toyota
2017,,,,"DHA Phase 1, Lahore",Islamabad,,Imported,,Aqua,Hatchback,Original,Toyota Aqua 2014,4,2,"Rs 3,440,000",https://www.olx.com.pk/item/toyota-aqua-2014-iid-1095379385,Black,,Toyota
,,,,"DHA Phase 1, Lahore",Lahore,,Local,,Cultus VXR,Hatchback,Original,Suzuki Cultus VXR 2001,3,,"Rs 795,000",https://www.olx.com.pk/item/suzuki-cultus-vxr-2001-iid-1095375402,Red,,Suzuki
,,,,"DHA Phase 1, Lahore",Lahore,,Local,,Cultus VXR,Hatchback,Original,Suzuki Cultus VXR 2001,3,,"Rs 795,000",https://www.olx.com.pk/item/suzuki-cultus-vxr-2001-iid-1095375402,Red,,Suzuki
,,,,"DHA Phase 1, Lahore",,,Local,,Other,Other,Original,Honda Other 2012,7,,"Rs 3,300,000",https://www.olx.com.pk/item/honda-other-2012-iid-1095365713,White,,Honda
,,,,"DHA Phase 1, Lahore",,,Local,,Other,Other,Original,Honda Other 2012,7,,"Rs 3,300,000",https://www.olx.com.pk/item/honda-other-2012-iid-1095365713,White,,Honda
2006,,,,"DHA Phase 1, Lahore",Lahore,,Local,,Cultus VXR,Sedan,Original,Suzuki Cultus VXR 2006,5,,"Rs 1,050,000",https://www.olx.com.pk/item/suzuki-cultus-vxr-2006-iid-1095358988,White,,Suzuki
2006,,,,"DHA Phase 1, Lahore",Lahore,,Local,,Cultus VXR,Sedan,Original,Suzuki Cultus VXR 2006,5,,"Rs 1,050,000",https://www.olx.com.pk/item/suzuki-cultus-vxr-2006-iid-1095358988,White,,Suzuki
,,,,"DHA Phase 1, Lahore",,,Imported,,V2,Hatchback,Original,FAW V2 2016,5,,"Rs 1,450,000",https://www.olx.com.pk/item/faw-v2-2016-iid-1095357240,White,,FAW
,,,,"DHA Phase 1, Lahore",,,Imported,,V2,Hatchback,Original,FAW V2 2016,5,,"Rs 1,450,000",https://www.olx.com.pk/item/faw-v2-2016-iid-1095357240,White,,FAW
automatic  oriel Leather seats,,,,"DHA Phase 1, Lahore",Lahore,,Local,,Civic VTi Oriel Prosmatec,Sedan,Original,honda civic 2018 X red meter,,,"Rs 5,750,000",https://www.olx.com.pk/item/honda-civic-2018-x-red-meter-iid-1087171142,Grey,Automatic air conditioning,Honda
automatic  oriel Leather seats,,,,"DHA Phase 1, Lahore",Lahore,,Local,,Civic VTi Oriel Prosmatec,Sedan,Original,honda civic 2018 X red meter,,,"Rs 5,750,000",https://www.olx.com.pk/item/honda-civic-2018-x-red-meter-iid-1087171142,Grey,Automatic air conditioning,Honda
civic reborn,,,,"DHA Phase 1, Lahore",Karachi,,Local,,Civic VTi Oriel Prosmatec,Sedan,Original,Honda Civic Reborn VTi Prosmatec 2007,,,"Rs 1,935,000",https://www.olx.com.pk/item/honda-civic-vti-oriel-prosmatec-2007-iid-1095345472,Grey,,Honda
civic reborn,,,,"DHA Phase 1, Lahore",Karachi,,Local,,Civic VTi Oriel Prosmatec,Sedan,Original,Honda Civic Reborn VTi Prosmatec 2007,,,"Rs 1,935,000",https://www.olx.com.pk/item/honda-civic-vti-oriel-prosmatec-2007-iid-1095345472,Grey,,Honda
VXL,,,,"DHA Phase 1, Lahore",Lahore,,Local,,Wagon R,Sedan,Original,Suzuki Wagon R 2017,4,,"Rs 2,175,000",https://www.olx.com.pk/item/suzuki-wagon-r-2017-iid-1095334348,Grey,,Suzuki
VXL,,,,"DHA Phase 1, Lahore",Lahore,,Local,,Wagon R,Sedan,Original,Suzuki Wagon R 2017,4,,"Rs 2,175,000",https://www.olx.com.pk/item/suzuki-wagon-r-2017-iid-1095334348,Grey,,Suzuki
GLi 1.6 Automatic,,,,"DHA Phase 1, Lahore",,,Local,,Corolla GLI,Sedan,Original,Toyota Corolla GLI 2013,5,,"Rs 3,050,000",https://www.olx.com.pk/item/toyota-corolla-gli-2013-iid-1095334299,Burgundy,,Toyota
GLi 1.6 Automatic,,,,"DHA Phase 1, Lahore",,,Local,,Corolla GLI,Sedan,Original,Toyota Corolla GLI 2013,5,,"Rs 3,050,000",https://www.olx.com.pk/item/toyota-corolla-gli-2013-iid-1095334299,Burgundy,,Toyota
VXR,,,,"DHA Phase 1, Lahore",Islamabad,,Local,,Alto,Small city car,Original,Suzuki Alto 2022,5,2,"Rs 2,550,000",https://www.olx.com.pk/item/suzuki-alto-2022-iid-1095334284,White,,Suzuki
VXR,,,,"DHA Phase 1, Lahore",Islamabad,,Local,,Alto,Small city car,Original,Suzuki Alto 2022,5,2,"Rs 2,550,000",https://www.olx.com.pk/item/suzuki-alto-2022-iid-1095334284,White,,Suzuki
EURO 2,,,,"DHA Phase 1, Lahore",Lahore,,Local,,Mehran VXR,Small city car,Original,Suzuki Mehran VXR 2013/15Model Total Genuan Body nd paint New tyralyrm,4,3,"Rs 985,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-201315model-total-genuan-body-nd-paint-new-tyralyrm-iid-1095325460,Grey,,Suzuki
EURO 2,,,,"DHA Phase 1, Lahore",Lahore,,Local,,Mehran VXR,Small city car,Original,Suzuki Mehran VXR 2013/15Model Total Genuan Body nd paint New tyralyrm,4,3,"Rs 985,000",https://www.olx.com.pk/item/suzuki-mehran-vxr-201315model-total-genuan-body-nd-paint-new-tyralyrm-iid-1095325460,Grey,,Suzuki
,,,,"DHA Phase 6, Lahore",Lahore,,Local,,BR-V,SUV,Original,Honda BR-V 2017,7,1,"Rs 4,100,000",https://www.olx.com.pk/item/honda-br-v-2017-iid-1095419499,Other,,Honda
,,,,"DHA Phase 6, Lahore",Lahore,,Local,,BR-V,SUV,Original,Honda BR-V 2017,7,1,"Rs 4,100,000",https://www.olx.com.pk/item/honda-br-v-2017-iid-1095419499,Other,,Honda
5,,,,"DHA Phase 6, Lahore",Islamabad,,Imported,,C-HR,Sedan,Original,Toyota C-HR 2017 import 2021,5,2,"Rs 7,200,000",https://www.olx.com.pk/item/toyota-c-hr-2017-import-2021-iid-1095264389,Grey,,Toyota
5,,,,"DHA Phase 6, Lahore",Islamabad,,Imported,,C-HR,Sedan,Original,Toyota C-HR 2017 import 2021,5,2,"Rs 7,200,000",https://www.olx.com.pk/item/toyota-c-hr-2017-import-2021-iid-1095264389,Grey,,Toyota
2009,,,,"DHA Phase 6, Lahore",Karachi,,Imported,,Cultus VXR,Small city car,Original,Suzuki Cultus VXR 2009,5,,"Rs 1,195,000",https://www.olx.com.pk/item/suzuki-cultus-vxr-2009-iid-1095211495,White,,Suzuki
2009,,,,"DHA Phase 6, Lahore",Karachi,,Imported,,Cultus VXR,Small city car,Original,Suzuki Cultus VXR 2009,5,,"Rs 1,195,000",https://www.olx.com.pk/item/suzuki-cultus-vxr-2009-iid-1095211495,White,,Suzuki
,,,,"DHA Phase 6, Lahore",Lahore,,Imported,,Moco,Hatchback,Original,Nissan Moco,4,2,"Rs 2,450,000",https://www.olx.com.pk/item/nissan-moco-2015-iid-1094873267,Other,,Nissan
,,,,"DHA Phase 6, Lahore",Lahore,,Imported,,Moco,Hatchback,Original,Nissan Moco,4,2,"Rs 2,450,000",https://www.olx.com.pk/item/nissan-moco-2015-iid-1094873267,Other,,Nissan
Z package,,,,"DHA Phase 6, Lahore",Unregistered,,Imported,,Raize,SUV,Original,Toyota Raize 2019,5,1,"Rs 6,200,000",https://www.olx.com.pk/item/toyota-raize-2019-iid-1092985032,White,,Toyota
Z package,,,,"DHA Phase 6, Lahore",Unregistered,,Imported,,Raize,SUV,Original,Toyota Raize 2019,5,1,"Rs 6,200,000",https://www.olx.com.pk/item/toyota-raize-2019-iid-1092985032,White,,Toyota
,,,,"DHA Phase 6, Lahore",Islamabad,,Imported,,Sportage,Sedan,Original,sportage 2021 for Sal fwd,5,,"Rs 6,200,000",https://www.olx.com.pk/item/sportage-2021-for-sal-fwd-iid-1073365371,Red,Automatic air conditioning,KIA
,,,,"DHA Phase 6, Lahore",Islamabad,,Imported,,Sportage,Sedan,Original,sportage 2021 for Sal fwd,5,,"Rs 6,200,000",https://www.olx.com.pk/item/sportage-2021-for-sal-fwd-iid-1073365371,Red,Automatic air conditioning,KIA
AWD,,,,"DHA Phase 6, Lahore",Lahore,,Local,,Sportage,SUV,Original,KIA Sportage 2020,5,1,"Rs 6,800,000",https://www.olx.com.pk/item/kia-sportage-2020-iid-1092345830,Blue,,KIA
AWD,,,,"DHA Phase 6, Lahore",Lahore,,Local,,Sportage,SUV,Original,KIA Sportage 2020,5,1,"Rs 6,800,000",https://www.olx.com.pk/item/kia-sportage-2020-iid-1092345830,Blue,,KIA
3.5 v6,,,,"DHA Phase 6, Lahore",Punjab,,Local,,Sorento,SUV,Original,KIA Sorento 2022,7,1,"Rs 9,200,000",https://www.olx.com.pk/item/kia-sorento-2022-iid-1095411042,Grey,,KIA
